#OK
#SQL= select DES.haloId as descendant_id,     
#	       DES.np as descendant_mass,     
#	       PROG.*     
#	  from millimil..MPAHalo DES,     
#	       millimil..MPAHalo PROG     
#	 where DES.snapnum = 63     
#	   and DES.np > 1e5     
#	   and PROG.haloId between DES.haloId and DES.lastprogenitorId     
#	   and PROG.redshift between 3.05 and 3.12     
#	   and PROG.np > 100     
#	 order by DES.np desc, PROG.np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 30 sec
#DATE 2015-07-29 19:28:45.503 CEST
#QUERYTIME 184 millisec
#COLUMN 1 name=descendant_id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=descendant_mass JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 3 name=haloID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=subHaloID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=lastProgenitorId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 6 name=treeId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 7 name=snapNum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 8 name=redshift JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=firstProgenitorId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 10 name=nextProgenitorId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 11 name=descendantId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 12 name=firstHaloInFOFgroupId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 13 name=nextHaloInFOFgroupId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 14 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 15 name=m_Mean200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=m_Crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=m_TopHat JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=phKey JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 19 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=zIndex JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 23 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 24 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 25 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 26 name=velX JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=velY JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 28 name=velZ JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 29 name=velDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 30 name=vMax JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 31 name=spinX JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 32 name=spinY JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 33 name=spinZ JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 34 name=mostBoundID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 35 name=fileNr JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 36 name=subhaloIndex JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 37 name=halfmassRadius JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 38 name=random JDBC_TYPE=4 JDBC_TYPENAME=int
descendant_id,descendant_mass,haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
3000042000000,137272,3000042002217,27000300000178,3000042002260,3000042000000,27,3.060419,3000042002218,-1,3000042002216,3000042002217,-1,1011,97.94273,97.168144,102.50421,13092,46.90938,10.394356,10.348495,39984,5,1,1,-40.76709,323.33047,367.49008,175.90321,290.4822,0.22727524,0.50248086,-0.16642492,7971772,3,178,0.023139166,791
3000042000000,137272,3000042003134,27000300000150,3000042003164,3000042000000,27,3.060419,3000042003135,-1,3000042003133,3000042003134,3000042003187,882,53.70498,51.639404,57.577934,13548,42.35262,13.528803,10.143454,36523,4,1,1,2.000562,124.7153,216.52356,133.39948,213.296,-0.64030385,0.5234731,1.2252808,8135884,3,150,0.038547847,570
3000042000000,137272,3000042003384,27000300000050,3000042003412,3000042000000,27,3.060419,3000042003385,-1,3000042003383,3000042003384,3000042003459,831,56.02875,54.221375,62.311546,13550,40.819202,15.081503,9.835102,36531,4,1,1,216.08742,115.38494,128.1576,123.979324,200.9586,0.14934048,-1.0041316,0.19252607,8162270,3,50,0.03868294,585
3000042000000,137272,3000042001308,27000300000212,3000042001327,3000042000000,27,3.060419,3000042001309,-1,3000042001307,3000042001308,-1,806,68.93861,68.07795,71.77877,13103,48.404926,12.33334,10.767296,40101,5,1,1,-218.72731,143.44653,68.57576,143.3902,228.64207,-0.22125725,-0.21480817,0.3937792,7862503,3,212,0.031862635,122
3000042000000,137272,3000042001559,27000300000208,3000042001579,3000042000000,27,3.060419,3000042001560,-1,3000042001558,3000042001559,3000042001604,703,66.356636,64.80745,71.34844,13548,42.465256,12.714381,11.247567,36527,4,1,1,121.095955,-101.15728,-81.99678,155.70796,226.98776,0.17021492,0.22590956,0.39698493,8140837,3,208,0.026706614,880
3000042000000,137272,3000042003459,27000300000051,3000042003496,3000042000000,27,3.060419,3000042003460,-1,3000042003458,3000042003384,3000042003414,626,0.0,0.0,0.0,13550,40.517475,15.422754,9.919509,36531,4,1,1,226.24318,-61.00665,72.92688,120.25402,203.97421,0.6223912,0.12385965,-0.54974204,8469469,3,51,0.02875072,384
3000042000000,137272,3000042001265,27000300000383,3000042001291,3000042000000,27,3.060419,3000042001266,3000042001292,3000042001264,3000042001265,3000042001292,422,37.266438,36.83611,38.471355,13103,47.57976,12.627075,10.505088,40096,5,1,1,-174.18993,32.485165,337.8558,115.402176,185.038,0.60855025,-0.29315153,-0.005751288,7975986,3,383,0.026039295,353
3000042000000,137272,3000042005193,27000300000079,3000042005215,3000042000000,27,3.060419,3000042005194,-1,3000042005192,3000042005065,3000042005175,265,0.0,0.0,0.0,13565,42.365868,9.761796,12.046321,36619,4,1,1,319.15768,224.56123,143.71512,119.09823,185.13788,0.21989723,0.22517888,-0.58706176,8132440,3,79,0.01566349,585
3000042000000,137272,3000042003108,27000300000634,3000042003118,3000042000000,27,3.060419,3000042003109,3000042003119,3000042003107,3000042003108,-1,253,20.655762,20.225433,21.25822,13546,42.15581,14.123069,9.242801,36509,4,1,1,-126.56862,41.346714,402.87424,99.08666,164.44487,-0.0012750366,-0.18522754,-0.07407629,8007023,3,634,0.017946592,934
3000042000000,137272,3000042001447,27000300000513,3000042001458,3000042000000,27,3.060419,3000042001448,-1,3000042001446,3000042001447,-1,220,21.516418,21.430351,22.118877,13565,41.915035,9.553302,12.507511,36618,4,1,1,58.59218,231.93526,-211.56793,78.14771,138.45955,0.2123137,-0.32331738,-0.19768068,8094178,3,513,0.022362635,712
3000042000000,137272,3000042003414,27000300000052,3000042003438,3000042000000,27,3.060419,3000042003415,-1,3000042003413,3000042003384,3000042003514,195,0.0,0.0,0.0,13546,41.033005,14.908944,9.588015,36510,4,1,1,258.83762,143.31854,265.62234,92.667915,153.97696,-0.46103725,0.06646674,-0.19084227,8288860,3,52,0.015744187,248
3000042000000,137272,3000042003514,27000300000053,3000042003525,3000042000000,27,3.060419,3000042003515,-1,3000042003513,3000042003384,3000042003567,193,0.0,0.0,0.0,14101,40.64756,15.78584,10.137939,43553,4,1,1,306.27298,-147.7849,229.78247,73.628204,132.81711,-0.1162825,-0.23460041,0.032245137,8315667,3,53,0.02082774,566
